,id,ICD10_CODE,Freq,VALIDITY_x,SHORT_DESCRIPTION_x,LONG_DESCRIPTION_x,FULL_DESCRIPTION_x,STATUS_x,CODE_TYPE_x
0,1,250.03,1,,,,,,
1,2,257.2,1,,,,,,
2,3,272.4,1,,,,,,
3,4,285.9,1,,,,,,
4,5,300,1,,,,,,
5,6,300.02,1,,,,,,
6,7,311,1,,,,,,
7,8,338.29,1,,,,,,
8,9,401.9,2,,,,,,
9,10,427.31,17,,,,,,
10,11,443.9,9,,,,,,
11,12,459.81,1,,,,,,
12,13,585.9,1,,,,,,
13,14,719.46,1,,,,,,
14,15,787.91,1,,,,,,
15,16,892,1,,,,,,
16,17,A01.00,2,C,TYPHOID FEVER UNSPECIFIED,TYPHOID FEVER UNSPECIFIED,"Typhoid fever, unspecified",,1
17,18,A04.5,2,C,CAMPYLOBACTER ENTERITIS,CAMPYLOBACTER ENTERITIS,Campylobacter enteritis,,1
18,19,A04.7,6,I,ENTEROCOLIT D/T CLOSTRIDM DIFFICILE,ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE,Enterocolitis due to Clostridium difficile,C,1
19,20,A04.72,6,C,ENTROCOLIT DT C DIF NOT SPEC AS REC,ENTEROCOLITS DT CLOSTR DIFFICILE NOT SPEC AS REC,"Enterocolitis due to Clostridium difficile, not specified as recurrent",N,1
20,21,A04.8,24,C,OTH SPEC BACTERIAL INTESTINAL INF,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,Other specified bacterial intestinal infections,,1
21,22,A08.4,20,C,VIRAL INTESTINAL INFECTION UNSPEC,VIRAL INTESTINAL INFECTION UNSPECIFIED,"Viral intestinal infection, unspecified",,1
22,23,A09,10,C,INF GASTROENTERITIS & COLITIS UNS,INFECTIOUS GASTROENTERITIS AND COLITIS UNSPEC,"Infectious gastroenteritis and colitis, unspecified",,1
23,24,A15.9,1,C,RESPIRATORY TUBERCULOSIS UNSPEC,RESPIRATORY TUBERCULOSIS UNSPECIFIED,Respiratory tuberculosis unspecified,,1
24,25,A30.9,2,C,LEPROSY UNSPECIFIED,LEPROSY UNSPECIFIED,"Leprosy, unspecified",,1
